school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor
480041258,마산내서여자고등학교,경남,창원시,경남,일반고,51226,경상남도 창원시 마산회원구 내서읍 삼풍로 133. 마산내서여자고등학교 (내서읍),691,65,1,691.0
480041245,마산가포고등학교,경남,창원시,경남,일반고,51755,경상남도 창원시 마산합포구 가포로 262(가포동.가포고등학교),441,42,1,441.0
480041878,창원경일여자고등학교,경남,창원시,경남,일반고,51519,경상남도 창원시 성산구 두대로 163. 창원경일여자고등학교(내동),301,33,0,
480041888,창원남고등학교,경남,창원시,경남,일반고,51508,경상남도 창원시 성산구 창원대로 813. 창원남고등학교(외동),489,44,0,
480041931,창원대암고등학교,경남,창원시,경남,일반고,51469,경상남도 창원시 성산구 대암로 203(대방동. 창원대암고등학교),515,54,1,515.0
480041460,진해고등학교,경남,창원시,경남,일반고,51695,경상남도 창원시 진해구 여좌로 100(여좌동. 진해고등학교),927,68,0,
480041933,진해용원고등학교,경남,창원시,경남,일반고,51604,경상남도 창원시 진해구 용재로77번길 8(용원동) 진해용원고등학교,845,66,0,
480041872,마산삼진고등학교,경남,창원시,경남,일반고,51793,경상남도 창원시 마산합포구 진동면 삼진의거대로 661-13(진동면. 삼진고등학교),506,45,1,506.0
480041840,진해세화여자고등학교,경남,창원시,경남,일반고,51581,경상남도 창원시 진해구 병암북로4번길 41진해세화여자고등학교(석동),705,53,1,705.0
480041476,창원사파고등학교,경남,창원시,경남,일반고,51458,경상남도 창원시 성산구 창이대로719번길 26. 창원사파고등학교 (사파동),525,52,1,525.0
480041762,성지여자고등학교,경남,창원시,경남,일반고,51263,경상남도 창원시 마산합포구 완월남로 20(완월동. 성지여자중고등학교) 성지여자고등학교,441,44,1,441.0
480041260,마산여자고등학교,경남,창원시,경남,일반고,51267,경상남도 창원시 마산합포구 고운로 157(완월동.마산여자고등학교),519,49,0,
480041876,창원경일고등학교,경남,창원시,경남,일반고,51519,경상남도 창원시 성산구 두대로 165(중앙동),471,46,0,
480041882,창원고등학교,경남,창원시,경남,일반고,51161,경상남도 창원시 의창구 태복산로 45(도계동. 창원중고등학교),592,52,1,592.0
480041901,충렬여자고등학교,경남,통영시,경남,일반고,53024,경상남도 통영시 용남면 견내량로 70. 충렬여자고등학교 (용남면),506,43,2,253.0
480041905,동원고등학교,경남,통영시,경남,일반고,53021,경상남도 통영시 광도면 용호로 12-29(광도면),846,66,1,846.0
480041520,통영여자고등학교,경남,통영시,경남,일반고,53065,경상남도 통영시 도리1길 19(도천동. 통영여자고등학교),732,61,0,
480041510,통영고등학교,경남,통영시,경남,일반고,53077,경상남도 통영시 도남로 116통영고등학교,886,71,1,886.0
480041500,충무고등학교,경남,통영시,경남,일반고,53058,경상남도 통영시 여황로 375(북신동. 충무고등학교),509,53,1,509.0
480041170,금남고등학교,경남,하동군,경남,일반고,52350,경상남도 하동군 금남면 섬진강대로 656-8(금남면. 금남고등학교),95,20,1,95.0
480041370,옥종고등학교,경남,하동군,경남,일반고,52313,경상남도 하동군 옥종면 옥수로 4-9(옥종면.옥종고등학교),43,13,0,
480041537,하동고등학교,경남,하동군,경남,일반고,52332,경상남도 하동군 하동읍 경서대로 84. 하동고등학교 (하동읍),193,28,0,
480041390,진교고등학교,경남,하동군,경남,일반고,52345,경상남도 하동군 진교면 민다리길 179(진교면),75,20,1,75.0
480041918,하동여자고등학교,경남,하동군,경남,일반고,52332,경상남도 하동군 하동읍 송림1길 30(하동읍. 하동여자고등학교),155,20,0,
480041547,함안고등학교,경남,함안군,경남,일반고,52038,경상남도 함안군 가야읍 함안대로 630. 함안고등학교 (가야읍),415,44,0,
480041642,군북고등학교,경남,함안군,경남,일반고,52065,경상남도 함안군 군북면 사군로 1558(군북면. 군북고등학교),151,17,0,
480041912,칠원고등학교,경남,함안군,경남,일반고,52018,경상남도 함안군 칠서면 삼칠로 281. 칠원고등학교(칠서면),375,34,0,
480041928,명덕고등학교,경남,함안군,경남,일반고,52043,경상남도 함안군 가야읍 고분길 107(가야읍. 명덕고등학교.함안여자중학교),353,37,1,353.0
480041555,서상고등학교,경남,함양군,경남,일반고,50003,경상남도 함양군 서상면 서상로 232-1(서상면),5,11,0,
480041550,함양고등학교,경남,함양군,경남,일반고,50044,경상남도 함양군 함양읍 함양로 1063(함양읍. 함양고등학교),319,35,0,
480041331,안의고등학교,경남,함양군,경남,일반고,50010,경상남도 함양군 안의면 안의배움길 30. 안의고등학교 (안의면),109,17,1,109.0
480041340,야로고등학교,경남,합천군,경남,일반고,50206,경상남도 합천군 야로면 역산길 13(야로면.야로고등학교),71,18,1,71.0
480041300,삼가고등학교,경남,합천군,경남,일반고,50219,경상남도 합천군 삼가면 봉두길 5(삼가면),98,20,1,98.0
480041945,합천여자고등학교,경남,합천군,경남,일반고,50234,경상남도 합천군 합천읍 남정길 25-7(합천읍. 합천여자고등학교),201,21,1,201.0
480041580,합천고등학교,경남,합천군,경남,일반고,50238,경상남도 합천군 합천읍 교동3길 12. 합천고등학교 (합천읍),174,28,0,
