school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor,wee_class_raw,wee_class,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
480041868,창선고등학교,경남,남해군,경남,일반고,52453,경상남도 남해군 창선면 창선로 97-12(창선면. 창선고등학교),168,22,0,,Y,1,274.3333333333333,13.333333333333334,287.6666666666667,3,1.7123015873015874,0.3137041075972374,0.527362846279196,0.42053347693821674,2
480041720,삼랑진고등학교,경남,밀양시,경남,일반고,50467,경상남도 밀양시 삼랑진읍 만어로 16삼랑진고등학교,224,24,0,,Y,1,271.6666666666667,0.6666666666666666,272.3333333333333,3,1.2157738095238095,0.296982915303526,0.3744398424769147,0.33571137889022035,2
480041290,밀양여자고등학교,경남,밀양시,경남,일반고,50429,경상남도 밀양시 내일중앙길 10(내일동. 밀양여자고등학교),264,33,0,,Y,1,277.3333333333333,4.666666666666667,282.0,3,1.0681818181818181,0.3075245365321701,0.32898375388869683,0.3182541452104335,2
480041688,밀양동명고등학교,경남,밀양시,경남,일반고,50460,경상남도 밀양시 하남읍 동명길 14(하남읍. 동명중고등학교),226,20,0,,Y,1,331.6666666666667,2.3333333333333335,334.0,3,1.4778761061946903,0.3642311886586696,0.45516336350482856,0.4096972760817491,2
480041702,밀성고등학교,경남,밀양시,경남,일반고,50422,경상남도 밀양시 석정로 127. 밀성고등학교 (내이동),429,35,0,,N,0,0.0,23.0,23.0,3,0.053613053613053616,0.025081788440567066,0.016512005105160998,0.020796896772864032,2
480041280,밀양고등학교,경남,밀양시,경남,일반고,50423,경상남도 밀양시 약산로 15(내이동. 밀양고등학교),483,51,1,483.0,Y,1,559.6666666666666,11.666666666666666,571.3333333333334,3,1.1828847481021394,0.6230461650308979,0.36431051177290225,0.4936783384019001,2
480041768,세종고등학교,경남,밀양시,경남,일반고,50444,경상남도 밀양시 가곡8길 28.세종고등학교(가곡동. 세종중고등학교),410,35,0,,Y,1,288.3333333333333,0.0,288.3333333333333,3,0.7032520325203252,0.3144311159578335,0.2165909301678568,0.26551102306284513,2
480041310,삼천포중앙고등학교,경남,사천시,경남,일반고,52550,경상남도 사천시 삼상로 145(벌리동. 삼천포중앙고등학교),340,36,0,,Y,1,377.6666666666667,11.666666666666666,389.3333333333333,3,1.1450980392156862,0.42457288258814974,0.35267278013867137,0.3886228313634106,2
480041798,용남고등학교,경남,사천시,경남,일반고,52537,경상남도 사천시 용현면 선진길 24. 용남고등학교 (용현면),459,39,0,,Y,1,356.3333333333333,0.0,356.3333333333333,3,0.7763253449527959,0.3885859687386405,0.2390963990158801,0.3138411838772603,2
480041160,곤양고등학교,경남,사천시,경남,일반고,52504,경상남도 사천시 곤양면 솥골길 120. 곤양고등학교 (곤양면),38,11,0,,N,0,0.0,7.0,7.0,3,0.18421052631578946,0.007633587786259542,0.05673404042425455,0.032183814105257044,2
