school_name,sigungu,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
창원토월고등학교,창원시,191.66666666666666,4.666666666666667,196.33333333333334,3,0.38496732026143793,0.21410396219556527,0.11856407962424513,0.1663340209099052,2
마산중앙고등학교,창원시,187.66666666666666,0.0,187.66666666666666,3,0.4727120067170445,0.20465285350781534,0.14558810853262585,0.1751204810202206,2
마산구암고등학교,창원시,397.0,9.333333333333334,406.3333333333333,3,0.8518518518518519,0.44311159578335146,0.26235741444866917,0.35273450511601034,2
창원명곡고등학교,창원시,380.6666666666667,0.0,380.6666666666667,3,0.7583001328021248,0.4151217739003999,0.23354490782118673,0.3243333408607933,2
합포고등학교,창원시,374.0,3.6666666666666665,377.6666666666667,3,0.7319121447028424,0.4118502362777172,0.22541780882482976,0.3186340225512735,2
마산제일여자고등학교,창원시,252.66666666666666,2.6666666666666665,255.33333333333334,3,0.4685015290519878,0.27844420210832427,0.1442913454494715,0.21136777377889787,2
웅천고등학교,창원시,224.66666666666666,4.0,228.66666666666666,3,0.35397316821465424,0.24936386768447835,0.10901835218778323,0.1791911099361308,2
창원용호고등학교,창원시,573.6666666666666,26.333333333333332,600.0,3,1.0471204188481675,0.6543075245365322,0.3224971632193976,0.4884023438779649,2
창원대산고등학교,창원시,242.33333333333334,6.0,248.33333333333334,3,0.5162855162855163,0.2708106143220647,0.15900808676474076,0.21490935054340274,2
창원문성고등학교,창원시,201.33333333333334,0.0,201.33333333333334,3,0.40428380187416335,0.21955652490003635,0.12451326217417197,0.17203489353710416,2
창원중앙고등학교,창원시,376.6666666666667,3.0,379.6666666666667,3,0.6534710269650029,0.41403126135950563,0.20125913758237732,0.3076451994709415,2
